breed_name,akc_group,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,size_category,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,hypoallergenic,coat_type,image_url_1,image_url_2,origin_country,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,working_dog,llm_summary
Boykin Spaniel,Sporting Group,100,35.56,45.72,11.33980925,18.1436948,10.0,15.0,medium,3.0,5.0,3.0,3.0,3.0,0,medium,https://cdn2.thedogapi.com/images/ryHJZlcNX_1280.jpg,https://cdn4.thedogapi.com/optimized/i3VwMxfPgP.jpg,"South Carolina, United States",2,50,80,1,110,5,5,5,2,2,2,3,1,1,1,1,0,1,4,3,0,1,1,0,0,"Boykin Spaniels are eager, friendly hunting dogs that excel as family companions due to their loving nature and intelligence. They are highly trainable and good with children and other pets, making them suitable for first-time owners. Regular exercise and moderate grooming are needed to keep them healthy and happy."
Bracco Italiano,Miscellaneous Class,,53.34,68.58,24.947580350000003,40.8233133,10.0,14.0,large,4.0,4.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/S13yZg5VQ_1280.jpg,,Italy,1,60,90,1,110,4,4,5,3,2,2,2,1,1,0,0,0,1,4,2,0,1,1,0,0,"Bracco Italianos are intelligent and reliable pointing dogs that are gentle in the home yet tireless in the field. They are affectionate and easy to train, making them suitable for experienced hunters or active families. They require substantial daily exercise and perform best with access to open spaces."
Braque du Bourbonnais,Foundation Stock Service,,48.26,57.15,15.875732950000002,24.04039561,10.0,12.0,medium,3.0,5.0,,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/d5dxpy8AUR.jpg,,"Bourbonnais region, France",1,50,85,1,105,4,4,5,3,2,2,2,1,1,0,0,0,1,4,2,0,1,1,0,0,"The Braque du Bourbonnais is a gentle, affectionate pointing dog with excellent trainability and adaptability to various hunting conditions. These kind-natured dogs make good family pets for active households and require daily exercise. Their short coat is easy to maintain with minimal grooming needs."
Braque Francais Pyrenean,Foundation Stock Service,,46.99,58.42,18.1436948,24.947580350000003,,,medium,5.0,,3.0,2.0,,0,short,https://cdn4.thedogapi.com/optimized/scLvpgahV9.jpg,,France,1,60,85,1,105,4,4,4,3,2,2,2,1,1,0,0,0,1,4,3,0,1,1,0,0,"Braque Francais Pyreneans are friendly, willing-to-please pointing dogs bred for hunting in rugged mountain terrain. They thrive with active owners who can provide daily exercise and mental stimulation. Their short coat requires minimal grooming, and they are generally healthy with low maintenance needs."
Briard,Herding Group,132,55.88,68.58,24.947580350000003,45.359237,12.0,12.0,giant,3.0,3.0,2.0,4.0,3.0,0,long,https://cdn2.thedogapi.com/images/rkVlblcEQ_1280.jpg,,France,3,50,100,2,180,3,4,5,3,3,4,3,1,1,1,0,0,1,2,4,0,0,2,1,1,"Briards are intelligent, faithful herding dogs with striking long coats that require frequent professional grooming. They are protective of their family, especially children, and need experienced owners for proper training and socialization. These dogs require regular exercise and thrive in homes with yards."
Brittany,Sporting Group,26,44.45,52.07,13.6077711,18.1436948,12.0,14.0,medium,5.0,5.0,3.0,3.0,4.0,0,medium,https://cdn2.thedogapi.com/images/HJWZZxc4X_1280.jpg,,"Brittany (Bretagne), France",2,60,70,1,95,5,5,5,2,2,1,3,1,1,1,1,0,1,3,3,0,1,1,0,0,"Brittanys are bright, upbeat sporting dogs that excel in obedience and agility competitions while remaining loving family companions. Their high trainability and eagerness to please make them suitable for first-time owners willing to provide daily exercise. They thrive with active families and are gentle with children and other pets."
Broholmer,Foundation Stock Service,,69.85,74.93,40.8233133,68.0388555,8.0,10.0,giant,3.0,,3.0,2.0,,0,short,https://cdn4.thedogapi.com/optimized/XNWthe9ZOc.jpg,,Denmark,1,45,150,2,175,2,4,3,3,2,5,2,1,0,0,0,0,1,3,4,0,0,3,1,0,"Broholmers are large, watchful mastiff-type dogs bred for property protection and require experienced owners with strong leadership skills. Their size and protective nature make them effective guardians but unsuitable for most apartment living. They need space, consistent training, and socialization from puppyhood."
Brussels Griffon,Toy Group,98,17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,small,3.0,3.0,3.0,3.0,4.0,0,curly,https://cdn4.thedogapi.com/optimized/quzLpWsNBj.jpg,,"Vendée region, France",3,20,40,2,100,4,5,4,2,4,3,4,0,1,1,1,1,0,2,2,1,1,1,0,0,"Brussels Griffons are small, loyal companions with big personalities and almost human-like expressions that capture hearts instantly. They are well-suited for apartment living and seniors due to their minimal exercise needs and affectionate nature. Their coat requires regular professional grooming and they can be prone to separation anxiety."
Bull Terrier,Terrier Group,62,53.34,55.88,22.6796185,31.751465900000003,12.0,13.0,large,4.0,3.0,3.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/a5wh4Z1NJ.jpg,https://cdn2.thedogapi.com/images/ROvy59azW.jpg,England,1,60,65,2,75,5,4,3,3,3,4,3,1,0,0,0,0,1,3,2,0,0,3,1,0,"Bull Terriers are energetic, playful dogs with strong protective instincts and a muscular build. They require experienced owners, extensive socialization, and firm training due to their dog-aggressive tendencies. Not suitable for apartments or families with other pets."
Bulldog,Non-Sporting Group,5,35.56,38.1,18.1436948,22.6796185,8.0,10.0,medium,3.0,3.0,4.0,3.0,4.0,0,short,https://cdn2.thedogapi.com/images/HJGzbx9Nm_1280.jpg,,England,1,30,55,3,65,3,5,2,2,2,2,3,1,1,1,1,1,0,1,2,1,1,1,0,0,"Bulldogs are friendly, affectionate companions ideal for apartment living and families with children. They are low-energy and easygoing but prone to serious health issues requiring expensive veterinary care. Their poor heat tolerance requires careful climate management."
Bullmastiff,Working Group,51,60.96,68.58,45.359237,58.9670081,7.0,9.0,giant,4.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/r1ifZl5E7_1280.jpg,https://cdn4.thedogapi.com/optimized/QdwFluBnbf.jpg,England,1,60,85,2,95,3,5,4,3,2,5,2,1,1,0,1,0,1,3,3,0,0,2,1,1,"Bullmastiffs are large, loyal guardians with excellent protective instincts and affectionate temperaments toward family. They require experienced owners, ample space, and consistent training due to their size and strength. Not suitable for apartments but excellent family protectors."
Cairn Terrier,Terrier Group,69,24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,small,3.0,3.0,3.0,3.0,4.0,0,wire,https://cdn2.thedogapi.com/images/Sk7Qbg9E7_1280.jpg,https://cdn4.thedogapi.com/optimized/AEtWWjCcLL.jpg,Scotland,2,45,35,1,50,5,4,4,4,4,3,2,1,1,0,0,1,0,3,4,1,1,1,0,0,"Cairn Terriers are small, alert, and playful dogs with strong prey drives and independent natures. They adapt well to apartment living and are suitable for first-time owners willing to manage their barking and training needs. Their terrier instincts mean they may chase small animals."
Canaan Dog,Herding Group,179,48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,medium,3.0,3.0,5.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/ONmucF2QTk.jpg,,Israel,2,60,50,1,65,4,3,5,5,3,4,2,1,0,0,0,0,1,4,4,0,0,2,1,1,"Canaan Dogs are intelligent, independent herders with strong territorial and protective instincts. They require experienced owners, firm leadership, and extensive early socialization. Best suited for active families with space and experience managing confident, independent dogs."
Cane Corso,Working Group,32,59.69,69.85,0.0,0.0,9.0,12.0,small,4.0,3.0,3.0,2.0,3.0,0,short,https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg,,Italy,1,60,90,2,100,3,4,5,4,2,5,2,1,0,0,0,0,1,3,3,0,0,3,1,1,"Cane Corsos are large, intelligent working dogs with strong protective and dominant instincts. They require experienced owners, firm leadership, and early socialization to manage safely. Their imposing appearance and guarding nature make them excellent protectors for experienced handlers."
Cardigan Welsh Corgi,Herding Group,68,26.67,31.75,11.33980925,17.23651006,12.0,15.0,medium,4.0,3.0,3.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg,,"Cardiganshire, Wales",2,45,45,1,60,4,4,4,3,3,4,2,1,1,1,1,1,0,2,4,1,1,1,0,1,"Cardigan Welsh Corgis are intelligent, affectionate herding dogs that adapt well to apartment living and family environments. They are trainable and loyal, suitable for first-time owners with moderate exercise needs. Their vigilant nature and loyalty make them excellent family companions."
Carolina Dog,Foundation Stock Service,,45.085,49.53,13.6077711,24.947580350000003,,,medium,3.0,5.0,3.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/rwf9rF0e9Z.jpg,,Southeastern United States,1,50,45,1,55,3,3,5,5,2,4,1,0,0,0,0,0,1,4,3,0,0,3,1,0,"Carolina Dogs are highly intelligent, independent primitive dogs reserved with strangers and requiring experienced handlers. They thrive in rural settings with ample space and need early socialization to manage their independent and territorial nature. Not suitable for families seeking a social family pet."
Catahoula Leopard Dog,Foundation Stock Service,,55.88,60.96,22.6796185,43.09127515,10.0,14.0,large,5.0,3.0,,,3.0,0,short,https://cdn2.thedogapi.com/images/BJcNbec4X_1280.jpg,https://cdn4.thedogapi.com/optimized/Q1BZEKatoN.jpg,"Louisiana, United States",1,75,60,1,70,4,3,4,5,3,5,2,0,0,0,0,0,1,4,2,0,0,3,1,0,"Catahoula Leopard Dogs are highly energetic, independent working dogs with strong protective and territorial instincts. They require firm guidance, extensive socialization, and experienced handlers in rural settings. Not suitable for families with children or other pets due to their assertive nature."
Caucasian Shepherd Dog,Foundation Stock Service,,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,giant,3.0,3.0,4.0,3.0,2.0,0,double,https://cdn4.thedogapi.com/optimized/dtXjNGJiGQ.jpg,,Caucasus Mountains,3,60,95,2,130,2,4,3,4,4,5,2,0,0,0,0,0,1,4,5,0,0,3,1,0,"Caucasian Shepherd Dogs are massive livestock guardians with fearless temperaments and strong protective instincts. They require experienced, confident owners with substantial space and resources for their size and grooming needs. Best suited for rural property protection rather than family companions."
Cavalier King Charles Spaniel,Toy Group,18,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,small,3.0,5.0,3.0,3.0,4.0,0,medium,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg,https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg,United Kingdom,2,30,45,2,75,4,5,4,2,2,2,3,1,1,1,1,1,0,3,3,1,1,1,0,0,"Cavalier King Charles Spaniels are affectionate, gentle companion dogs with a sweet disposition ideal for families and seniors. Their moderate exercise needs and trainability make them suitable for apartment living and first-time owners."
Central Asian Shepherd Dog,Foundation Stock Service,,64.77,69.85,39.91612856,49.895160700000005,,,giant,3.0,3.0,3.0,2.0,2.0,0,double,https://cdn4.thedogapi.com/optimized/56j27IEHO8.jpg,,Central Asia,1,60,80,1,90,3,3,4,5,2,5,1,1,0,0,0,0,1,4,5,0,0,3,1,0,"Central Asian Shepherd Dogs are powerful, independent livestock guardians requiring experienced owners and extensive socialization. They are unsuitable for first-time owners or families without substantial property and time commitment."
Cesky Terrier,Terrier Group,185,25.4,33.02,6.35029318,10.88621688,12.0,15.0,medium,3.0,3.0,3.0,3.0,3.0,0,wire,https://cdn4.thedogapi.com/optimized/UvhPeERjsc.jpg,,Czech Republic,3,45,35,1,75,4,4,4,3,3,4,2,1,0,0,0,0,1,3,4,0,0,2,1,0,"Cesky Terriers are determined hunting dogs with a mellow temperament compared to typical terriers, requiring moderate exercise and professional grooming. They are protective and wary of strangers, making them better suited to experienced owners with secure yards."
Chesapeake Bay Retriever,Sporting Group,45,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,large,4.0,3.0,4.0,3.0,3.0,0,double,https://cdn2.thedogapi.com/images/dBrrpEGm4.jpg,https://cdn2.thedogapi.com/images/-GnlzQbmR.jpg,"Maryland, United States",2,60,70,2,100,4,4,4,3,2,3,2,1,1,0,0,0,1,2,4,0,0,2,0,0,"Chesapeake Bay Retrievers are strong, intelligent water dogs with independent streaks and high exercise needs. They require experienced owners, substantial space, and access to water for optimal wellbeing."
Chihuahua,Toy Group,33,12.7,20.32,2.72155422,2.72155422,14.0,16.0,small,3.0,3.0,3.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/keGcncOUuU.jpg,,Mexico,1,30,20,2,40,4,5,4,2,4,3,4,1,1,1,1,1,0,4,2,1,1,1,0,0,"Chihuahuas are tiny, charming dogs with big personalities and surprising loyalty that fit well in apartments and with various owner types. They require consistent training early on to prevent behavioral issues and may have separation anxiety."
Chinese Crested,Toy Group,79,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,small,3.0,3.0,2.0,2.0,4.0,1,curly,https://cdn2.thedogapi.com/images/B1pDZx9Nm_1280.jpg,https://cdn4.thedogapi.com/optimized/EmZBU7gxxa.jpg,China,2,30,25,2,55,4,5,3,2,2,1,3,1,1,1,1,1,0,4,2,1,1,1,0,0,"Chinese Crested dogs are lively toy companions available in hairless or coated varieties, making them hypoallergenic options for allergy-sensitive families. Their affectionate nature and apartment suitability make them good choices for first-time owners."
Chinese Shar-Pei,Non-Sporting Group,64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,large,3.0,2.0,4.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/Rrs2lVEQHq.jpg,https://cdn2.thedogapi.com/images/B1ruWl94Q_1280.jpg,China,2,40,50,3,100,2,3,4,4,3,4,2,0,0,0,0,0,1,3,2,0,0,3,1,0,"Chinese Shar-Pei are loyal, independent guardians prone to skin and health issues requiring experienced owners and veterinary care. They are suspicious of strangers and require firm socialization, making them unsuitable for families with children."
Chinook,Working Group,190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,large,4.0,5.0,3.0,3.0,4.0,0,double,https://cdn4.thedogapi.com/optimized/LtHPr7ay0L.jpg,https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg,"New Hampshire, United States",2,60,75,1,105,4,5,5,2,2,2,2,1,1,1,1,0,1,2,5,0,1,1,0,1,"Chinooks are calm, people-oriented sled dogs excelling as family companions with patience and devotion toward children. Their trainability and gentle nature make them suitable for first-time owners with adequate space and exercise time."
Chow Chow,Non-Sporting Group,75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,large,3.0,2.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/XSu9Ht84DA.jpg,https://cdn2.thedogapi.com/images/ry8KWgqEQ_1280.jpg,China,3,40,55,2,125,2,2,4,4,2,4,1,0,0,0,0,0,1,2,5,0,0,3,1,0,"Chow Chows are dignified, independent dogs with protective instincts and demanding grooming needs due to their heavy coat. They are unsuitable for first-time owners or families with children, requiring experienced handlers and significant yard space."
Cirneco dell’Etna,Hound Group,183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,medium,3.0,3.0,2.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/ZtaezE1Cby.jpg,,"Sicily, Italy",1,50,30,1,50,3,4,3,4,3,2,1,1,0,0,0,0,1,5,1,0,0,2,0,0,"Cirneco dell'Etna are lithe sighthounds with independent, prey-driven temperaments requiring experienced owners and secure, fenced environments. Their high exercise needs and independent nature make them unsuitable for first-time owners or urban living."
Clumber Spaniel,Sporting Group,143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,large,3.0,3.0,4.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg,https://cdn2.thedogapi.com/images/rkeqWgq4Q_1280.jpg,England,2,60,80,2,110,3,4,3,2,2,2,3,1,1,0,1,0,1,2,4,0,1,1,0,0,"Clumber Spaniels are sweet, mellow hunting dogs suited for active families with space. They are excellent with children and other dogs but require regular exercise and grooming. These gentle companions thrive with owners who can provide outdoor activities and socialization."
Cocker Spaniel,Sporting Group,30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,medium,3.0,5.0,3.0,4.0,5.0,0,medium,https://cdn2.thedogapi.com/images/BP9tUfS_h.jpg,https://cdn2.thedogapi.com/images/gW4R5SWbV.jpg,United States,3,60,65,2,130,4,5,5,2,2,1,3,1,1,1,1,1,0,3,3,1,1,1,0,0,"Cocker Spaniels are gentle, highly intelligent dogs that excel as family companions and are easily trained. They require regular professional grooming and moderate exercise. These affectionate, playful dogs are excellent with children and adapt well to various living situations."
Collie,Herding Group,38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,large,3.0,4.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/UZtLVvNhE.jpg,https://cdn2.thedogapi.com/images/ssY_amKgW.jpg,Scotland,2,60,75,1,100,3,4,4,2,3,3,3,1,1,1,1,0,1,2,5,0,1,1,1,1,"Collies are devoted, graceful herding dogs famous for their fondness of children and loyalty to families. They require regular grooming, moderate exercise, and space to roam. These intelligent dogs are suitable for first-time owners seeking a protective yet gentle family companion."
Coton de Tulear,Non-Sporting Group,81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,small,3.0,4.0,3.0,4.0,5.0,1,curly,https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg,https://cdn4.thedogapi.com/optimized/mFiuFIyvhH.jpg,Madagascar,3,40,40,1,110,4,5,4,2,3,1,4,1,1,1,1,1,0,4,2,1,1,1,0,0,"Cotons de Tulear are charming, small companion dogs with hypoallergenic white coats that form strong bonds with their owners. They require regular professional grooming but minimal exercise, making them ideal for apartment living. These intelligent, playful dogs are excellent for first-time owners seeking a devoted, adaptable companion."
Croatian Sheepdog,Foundation Stock Service,,40.64,50.8,13.15417873,19.95806428,13.0,14.0,medium,5.0,5.0,3.0,2.0,3.0,0,medium,https://cdn4.thedogapi.com/optimized/qsshNx5TEm.jpg,,Croatia,1,90,70,1,85,4,3,5,3,3,4,2,1,1,0,0,0,1,3,4,0,0,2,1,0,"Croatian Sheepdogs are highly intelligent, alert herding dogs requiring experienced owners and substantial daily exercise. They are loyal, protective family members that excel in working roles and active households. These dogs are best suited for owners with herding dog experience and access to space for vigorous activity."
Curly-Coated Retriever,Sporting Group,162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,large,4.0,3.0,3.0,2.0,3.0,0,curly,,,England,2,75,80,2,110,4,4,4,3,2,2,2,1,1,0,1,0,1,3,4,0,0,2,0,0,"Curly-Coated Retrievers are confident, intelligent gun dogs with waterproof coats suited for active families and hunters. They are more independent than other retrievers but remain affectionate and playful. These dogs require experienced owners comfortable with their mischievous nature and substantial exercise needs."
Czechoslovakian Vlcak,Foundation Stock Service,,59.69,64.77,19.95806428,25.85476509,10.0,15.0,large,5.0,2.0,5.0,3.0,2.0,0,double,,,,2,120,90,2,120,3,3,5,5,2,4,1,0,1,0,0,0,1,3,5,0,0,3,1,0,"Czechoslovakian Vlcaks are highly intelligent, independent working dogs requiring experienced owners and extensive daily exercise. They are best suited for specialized roles like search and rescue or tracking work. These dogs are not suitable for families with children and demand significant space and commitment."
Dachshund,Hound Group,12,12.7,22.86,4.9895160700000005,14.51495584,12.0,16.0,medium,3.0,3.0,3.0,3.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/HhcmXDVqR2.jpg,,Germany,1,45,35,2,55,3,4,4,3,4,3,3,1,0,1,1,1,0,3,2,1,1,1,1,0,"Dachshunds are iconic small dogs with big personalities, alert vigilance, and surprising courage despite their short legs. They are adaptable to apartment living but can be barky and require consistent training. These intelligent, curious dogs make excellent companions for families and individuals seeking a devoted, spirited pet."
Dalmatian,Non-Sporting Group,56,48.26,60.96,20.41165665,31.751465900000003,11.0,13.0,large,4.0,3.0,5.0,3.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/ACDtQWVRBr.jpg,https://cdn2.thedogapi.com/images/SkJ3blcN7_1280.jpg,"Dalmatia, Croatia",1,90,75,2,95,3,3,3,3,2,3,2,1,1,0,0,0,1,4,2,0,0,2,1,0,"Dalmatians are distinctive, energetic dogs requiring substantial daily exercise and space to thrive. They are dignified, intelligent guardians with retained protective instincts suited for active families. These dogs require experienced owners who can manage their high energy and provide proper training and socialization."
Dandie Dinmont Terrier,Terrier Group,176,20.32,27.94,8.164662660000001,10.88621688,12.0,15.0,medium,3.0,3.0,2.0,4.0,3.0,0,wire,https://cdn4.thedogapi.com/optimized/wnXnSQ9sTP.jpg,,Scottish Borders,3,50,45,1,100,3,3,4,4,4,3,2,0,0,0,0,1,0,3,3,1,0,2,1,0,"Dandie Dinmont Terriers are independent, proud small dogs with distinctive appearance and alert watchdog tendencies. They require regular professional grooming and can be stubborn, making them better suited for experienced owners. These terriers are territorial and often not suitable for homes with children or other pets."
Danish-Swedish Farmdog,Foundation Stock Service,,31.75,36.83,6.80388555,9.0718474,11.0,13.0,medium,4.0,,3.0,2.0,,0,short,https://cdn4.thedogapi.com/optimized/NTP0UdJD2P.jpg,,Denmark and Sweden,1,60,35,1,40,4,4,4,3,3,3,2,1,1,1,1,0,1,3,4,0,1,1,0,0,"The Danish-Swedish Farmdog is an energetic, trainable companion known as the 'Little Big Dog' that thrives on work and challenge. This versatile breed is well-suited for active families and farms with access to outdoor space. They are excellent for first-time owners willing to provide adequate exercise and mental stimulation."
Deutscher Wachtelhund,Foundation Stock Service,,45.72,53.34,18.1436948,24.947580350000003,12.0,14.0,medium,3.0,,,3.0,,0,long,,,,2,90,55,1,75,4,4,4,3,2,2,2,1,1,0,0,0,1,3,4,0,0,2,0,0,"The Deutscher Wachtelhund is a friendly, versatile gun dog originally bred for hunting waterfowl and upland birds. This medium-sized breed requires significant daily exercise and is best suited for hunters and active individuals with experience. Their strong prey drive and water-loving nature make them ideal for working homes rather than typical household pets."
Doberman Pinscher,Working Group,17,60.96,71.12,27.2155422,45.359237,10.0,12.0,giant,5.0,5.0,4.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/yy1nVxX1TD.jpg,https://cdn2.thedogapi.com/images/HyL3bl94Q_1280.jpg,Germany,1,120,65,2,75,4,4,5,3,3,5,3,1,0,0,0,0,1,4,2,0,0,3,1,1,"The Doberman Pinscher is a loyal, fearless, and highly intelligent working dog with strong protective instincts and impressive athletic ability. This breed requires experienced owners who can provide firm leadership, extensive exercise, and proper socialization. They excel as guard dogs and in protection work but demand significant commitment and training expertise."
Dogo Argentino,Working Group,of,60.96,67.31,39.91612856,45.359237,9.0,15.0,giant,5.0,,2.0,2.0,,0,short,https://cdn2.thedogapi.com/images/S1nhWx94Q_1280.jpg,https://cdn4.thedogapi.com/optimized/TKneriCOWC.jpg,Argentina,1,120,85,2,95,4,4,3,3,2,5,2,0,0,0,0,0,1,4,2,0,0,3,1,1,"The Dogo Argentino is a large, powerful hunting dog developed for pursuing dangerous game with explosive energy and athleticism. This breed is best suited for experienced owners with the knowledge to manage their strong prey drive and protective instincts in appropriate working contexts. They require significant exercise, secure containment, and are not suitable for typical family homes."
Dogue de Bordeaux,Working Group,67,58.42,66.04,44.905644630000005,49.895160700000005,5.0,8.0,giant,3.0,3.0,4.0,2.0,3.0,0,short,https://cdn4.thedogapi.com/optimized/ozM2Ca6Plu.jpg,,"Bordeaux, France",1,60,90,3,110,3,5,2,2,2,4,3,1,0,0,0,1,1,2,2,1,0,2,1,1,"The Dogue de Bordeaux is an immensely powerful mastiff with a distinctive large head and affectionate, loyal temperament. Despite their size and strength, they are sweet-natured companions who require experienced handling and face significant health challenges common to large breeds. They are better suited to homes that can manage their exercise limitations due to heat sensitivity and potential health issues."
Drentsche Patrijshond,Foundation Stock Service,,53.34,63.5,21.77243376,33.11224301,11.0,14.0,large,4.0,3.0,4.0,3.0,3.0,0,medium,https://cdn4.thedogapi.com/optimized/rYOOAgdBuu.jpg,,"Drenthe province, Netherlands",2,90,50,1,70,4,4,4,3,2,2,2,1,1,0,0,0,1,3,4,0,0,2,0,0,"The Drentsche Patrijshond is a loyal, intelligent hunting dog with a sensitive nature that responds poorly to forceful training methods. This breed excels at hunting diverse game and retrieving both on land and in water, making it ideal for experienced hunters. They require significant daily exercise and gentle training approaches to bring out their best working qualities."
Drever,Foundation Stock Service,,30.48,38.1,15.875732950000002,18.1436948,15.0,15.0,medium,3.0,2.0,3.0,2.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/ONKzjG4REb.jpg,,Sweden,1,75,40,1,50,3,3,3,3,3,1,2,1,1,1,1,0,1,3,5,0,1,1,0,0,"The Drever is a Swedish hunting hound with an even-tempered, never aggressive or nervous disposition that makes it adaptable to various living situations. This short-legged, long-bodied breed is robust and strong, with moderate exercise needs and minimal grooming requirements. They tend to be vocal when alerting or playing, but are otherwise content and suitable for first-time owners."
Dutch Shepherd,Miscellaneous Class,,54.61,62.23,19.05087954,34.01942775,11.0,14.0,large,5.0,3.0,3.0,3.0,3.0,0,double,https://cdn4.thedogapi.com/optimized/GxmoWNpZqN.jpg,https://cdn2.thedogapi.com/images/BkE6Wg5E7_1280.jpg,Netherlands,2,120,60,1,85,4,3,5,4,3,4,2,1,0,0,0,0,1,3,4,0,0,2,1,0,"The Dutch Shepherd is an intelligent, lively, athletic working dog originally developed as an all-purpose farm dog with strong protective instincts. This breed retains many wild characteristics and requires experienced handlers who can provide extensive daily exercise, mental stimulation, and firm leadership. They excel in herding, police work, and protection roles but are unsuitable for novice owners or typical household settings."
English Cocker Spaniel,Sporting Group,52,38.1,43.18,11.79340162,15.42214058,12.0,14.0,medium,3.0,5.0,3.0,3.0,4.0,0,medium,https://cdn4.thedogapi.com/optimized/UnSc5dMSae.jpg,,England,2,75,45,2,65,4,4,4,2,2,2,3,1,1,1,1,1,0,3,3,1,1,1,0,0,"The English Cocker Spaniel is an energetic, merry, and responsive sporting dog with a balanced temperament, construction, and movement. Their trainability is exceptional, and they are excellent family companions for active households who can provide regular exercise and grooming. This breed is suitable for first-time owners and adapts well to various living environments including apartments."
English Foxhound,Hound Group,188,60.96,60.96,27.2155422,34.01942775,10.0,13.0,large,4.0,3.0,4.0,2.0,4.0,0,double,https://cdn4.thedogapi.com/optimized/L6rQ7CyZbD.jpg,,England,1,120,50,1,60,3,4,3,4,4,1,1,0,1,0,0,0,1,3,4,0,0,3,0,0,"The English Foxhound is an epitome of beauty, balance, and utility bred for pack hunting with a gentle, sociable temperament. These scent-driven hounds are so motivated by prey instinct that they are rarely kept as house pets and are best left to experienced huntsmen. They require extensive exercise, pack-oriented living, and are completely unsuitable for average household ownership."
English Setter,Sporting Group,94,58.42,68.58,20.41165665,36.2873896,12.0,12.0,large,4.0,4.0,4.0,3.0,4.0,0,long,https://cdn4.thedogapi.com/optimized/DaCvmFBDVI.jpg,https://cdn2.thedogapi.com/images/By4A-eqVX_1280.jpg,England,3,60,65,2,125,4,4,4,3,2,2,3,1,1,0,1,0,1,3,3,0,1,1,0,0,"English Setters are elegant, friendly hunting dogs that require significant daily exercise and space. Their long coats need regular professional grooming, making them moderately expensive to maintain. They excel as family companions for active households with experience handling sporting breeds."
English Springer Spaniel,Sporting Group,27,48.26,50.8,18.1436948,22.6796185,12.0,14.0,medium,3.0,5.0,3.0,3.0,4.0,0,double,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ_1280.jpg,https://cdn4.thedogapi.com/optimized/AT2BZ19dCG.jpg,England,3,90,70,2,140,4,5,5,2,2,2,4,1,1,1,1,0,1,3,4,0,1,1,0,0,"English Springer Spaniels are highly trainable, affectionate companions bred for hunting that thrive with active families. They require substantial daily exercise and regular grooming but reward owners with outstanding obedience and loyalty. These dogs excel in homes with yards and are excellent for first-time owners willing to meet their energy needs."
