breed_name,description,temperament,popularity_rank,height_min_cm,height_max_cm,weight_min_kg,weight_max_kg,life_expectancy_min,life_expectancy_max,akc_group,dog_api_id,coat_type,origin_country,energy_level,trainability,shedding_level,grooming_frequency,good_with_strangers,size_category,working_dog,image_url_1,image_url_2,hypoallergenic,grooming_cost_tier,exercise_min_per_day,monthly_food_cost_usd,vet_cost_tier,monthly_total_cost_usd,playfulness,affection_level,intelligence,independence,barking_level,protective_instinct,separation_anxiety,good_with_kids,good_with_dogs,good_with_cats,good_with_elderly,apartment_suitable,needs_yard,heat_tolerance,cold_tolerance,urban_suitable,first_time_owner_suitable,experience_required,guard_dog,llm_summary
Cane Corso,"At nearly 28 inches at the shoulder and often weighing more than 100 pounds, with a large head, alert expression, and muscles rippling beneath their short, stiff coat, Corsi are at a glance intimidating creatures. Their imposing appearance is their first line of defense against intruders. As one writer put it, “An understated air of cool competence, the kind of demeanor you’d expect from a professional bodyguard, is the breed’s trademark.”Corsi are intelligent, loyal, eager to please, versatile, and intensely loyal to their humans, but are also assertive and willful, and can end up owning an unwitting owner. As with any other big guardian dog, responsible breeding and early socialization with people and other dogs is vital. Smart, trainable, and of noble bearing, the assertive and confident Cane Corso is a peerless protector. The Corso’s lineage goes back to ancient Roman times, and the breed’s name roughly translates from the Latin as “bodyguard dog.”","Affectionate, Intelligent, Majestic",32,59.69,69.85,0.0,0.0,9.0,12.0,Working Group,67,short,Italy,4.0,3.0,3.0,2.0,3.0,small,1,https://cdn2.thedogapi.com/images/r15m-lc4m_1280.jpg,,0,1,60,90,2,100,3,4,5,4,2,5,2,1,0,0,0,0,1,3,3,0,0,3,1,"Cane Corsos are large, intelligent working dogs with strong protective and dominant instincts. They require experienced owners, firm leadership, and early socialization to manage safely. Their imposing appearance and guarding nature make them excellent protectors for experienced handlers."
Cardigan Welsh Corgi,"Long, low-set dogs with sturdy bone, short legs, and a deep chest, Cardigans are powerful workers of deceptive speed and grace. Cardis can weigh anywhere from 25 to 34 pounds, with females at the lower end of the scale. They come in several coat colors, from red to the popular blue-merle pattern. The quickest way to distinguish Cardis from their cousins, Pembroke Welsh Corgis, is to check out the hindquarters: Cardigans have tails; Pembrokes do not.Cardis are trainable, faithful, and vigilant guardians with a “big dog” bark. Well-socialized Cardis are especially fond of kids and agreeable with other pets. These athletic, rugged herders have a love for the outdoors, and they thrive on mental stimulation and physical activity. The Cardigan Welsh Corgi is a masterpiece of the breeder’s art: Every aspect of its makeup is perfectly suited to moving cattle, and yet it is so congenial and sweet-faced that it would be a cherished companion even if it never did a day’s work.","Affectionate, Loyal, Smart",68,26.67,31.75,11.33980925,17.23651006,12.0,15.0,Herding Group,68,double,"Cardiganshire, Wales",4.0,3.0,3.0,3.0,3.0,medium,1,https://cdn2.thedogapi.com/images/SyXN-e9NX_1280.jpg,,0,2,45,45,1,60,4,4,4,3,3,4,2,1,1,1,1,1,0,2,4,1,1,1,0,"Cardigan Welsh Corgis are intelligent, affectionate herding dogs that adapt well to apartment living and family environments. They are trainable and loyal, suitable for first-time owners with moderate exercise needs. Their vigilant nature and loyalty make them excellent family companions."
Carolina Dog,"Carolina dogs are descended from the canines that accompanied the Paleo-Indians who traveled from Asia to North America over the Bering land bridge. Today, they can still be found living wild near the Georgia-South Carolina border, but have also been seen as far north as Ohio and Pennsylvania and as far west as Arizona; rural areas are the common denominator. The typical Carolina dog has pointed ears, a fox-like snout and a tail that curves like a fishhook when it is raised. They look similar to Australian Dingoes but, taxonomically, they fall under canis familiaris. Hesitant with strangers, they will sound the alarm when unaware of who’s at the door, but once they see their people, they are ecstatic. Carolina Dogs have an extreme pack mentality, as this was a necessity for survival in the wild. Club Contact DetailsClub: Carolina Dog Club of AmericaName: Lane Watkins, PresidentEmail: president@thecarolinadogclubofamerica.com Carolina Dogs are generally shy and suspicious in nature, but once a dog accepts a human into its pack, those behaviors disappear toward that human. A sighthound of medium build, they have the general appearance of a jackal or wolf.","Loyal, Independent, Reserved with Strangers",,45.085,49.53,13.6077711,24.947580350000003,,,Foundation Stock Service,410,short,Southeastern United States,3.0,5.0,3.0,2.0,3.0,medium,0,https://cdn4.thedogapi.com/optimized/rwf9rF0e9Z.jpg,,0,1,50,45,1,55,3,3,5,5,2,4,1,0,0,0,0,0,1,4,3,0,0,3,1,"Carolina Dogs are highly intelligent, independent primitive dogs reserved with strangers and requiring experienced handlers. They thrive in rural settings with ample space and need early socialization to manage their independent and territorial nature. Not suitable for families seeking a social family pet."
Catahoula Leopard Dog,"The Catahoula Leopard Dog is a medium-large, short-coated dog, known for its many varied coat and eye colors and patterns. The word catahoula is of Choctaw origin and is translated to mean “sacred lake.” Catahoulas are the only breed of dog to have historically originated in the state of Louisiana. The breed requires firm guidance and early socialization, as they can be independent, territorial, and protective. For the same reasons, they do not allow mistreatment and will assert themselves in self-defense. Once they know their place in the family unit, they are affectionate, loyal, and gentle. Also called the Catahoula Hog Dog, they are used as stock dogs, bay dogs, tree dogs, watchdogs, guard dogs, and of course as loyal companions. The Catahoula Leopard Dog is a multi-purpose working dog that is well-muscled and powerful, but with a sense of agility and endurance. They are serious while working and playful at home.","Loyal, Independent, Watchful",,55.88,60.96,22.6796185,43.09127515,10.0,14.0,Foundation Stock Service,69,short,"Louisiana, United States",5.0,3.0,,,3.0,large,0,https://cdn2.thedogapi.com/images/BJcNbec4X_1280.jpg,https://cdn4.thedogapi.com/optimized/Q1BZEKatoN.jpg,0,1,75,60,1,70,4,3,4,5,3,5,2,0,0,0,0,0,1,4,2,0,0,3,1,"Catahoula Leopard Dogs are highly energetic, independent working dogs with strong protective and territorial instincts. They require firm guidance, extensive socialization, and experienced handlers in rural settings. Not suitable for families with children or other pets due to their assertive nature."
Caucasian Shepherd Dog,"Caucasian Shepherd dogs were used for centuries to protect properties from trespassers, guard livestock from large and small predators such as wolves and coyotes, and for many other duties. In modern days, especially in the West, they’re most commonly companions and watchdogs. There is a great variety of types among the Caucasian dogs depending on their home region. For almost a century, there has been two breed types and standards: The Mountain type, which is long-coated and has a heavier body mass than the Steppe type, a shorter-coated dog with a lighter body mass. Other names for the breed include Caucasian Ovcharka, Caucasian Sheepdog, Kawkasky Owtscharka, and Kaukasische Schaferhund. The Caucasian Shepherd dog is a serious guardian breed and should never be taken lightly. The Caucasian is bold, fearless, self-confident and fierce when a threat is present, but he is soft, devoted, kind and endearing to his family, including other family pets.","Fearless, Bold, Kind",,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,Foundation Stock Service,269,double,Caucasus Mountains,3.0,3.0,4.0,3.0,2.0,giant,0,https://cdn4.thedogapi.com/optimized/dtXjNGJiGQ.jpg,,0,3,60,95,2,130,2,4,3,4,4,5,2,0,0,0,0,0,1,4,5,0,0,3,1,"Caucasian Shepherd Dogs are massive livestock guardians with fearless temperaments and strong protective instincts. They require experienced, confident owners with substantial space and resources for their size and grooming needs. Best suited for rural property protection rather than family companions."
Cavalier King Charles Spaniel,"The Cavalier’s all-around beauty, regal grace, and even temper mark him as one of dogdom’s noblemen. A toy spaniel no more than 13 inches high, the Cavalier draws you in with his face: The sweet, gentle, melting expression emanating from large, round eyes is a breed hallmark. Another is the silky, richly-colored coat that can be one of four distinct varieties.Cavaliers may be aristocrats, but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase. They get along nicely with children and other dogs. Adaptable Cavaliers do equally well with active owners and homebodies—they can be upbeat athletes or shameless couch potatoes, depending on an owner’s lifestyle. The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.","Affectionate, Gentle, Graceful",18,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group,71,medium,United Kingdom,3.0,5.0,3.0,3.0,4.0,small,0,https://cdn4.thedogapi.com/optimized/fM3yF6cLB1.jpg,https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg,0,2,30,45,2,75,4,5,4,2,2,2,3,1,1,1,1,1,0,3,3,1,1,1,0,"Cavalier King Charles Spaniels are affectionate, gentle companion dogs with a sweet disposition ideal for families and seniors. Their moderate exercise needs and trainability make them suitable for apartment living and first-time owners."
Central Asian Shepherd Dog,"Central Asian Shepherd Dogs are a natural protective breed that require a non-stop observance for the life of the dog. They are not for first-time dog owners. They were formed as a breed from natural selection during more than four thousand years in a vast territory, which spreads nowadays from the Caspian Sea to China and from Southern Ural to Afghanistan. The Central Asian Shepherd Dog is self-assured, balanced, quiet, proud and independent. They are very courageous and have a high working capacity, endurance and a natural instinct of territory. This breed is known for its fearlessness towards large predators.","Independent, Courageous, Self-Confident",,64.77,69.85,39.91612856,49.895160700000005,,,Foundation Stock Service,414,double,Central Asia,3.0,3.0,3.0,2.0,2.0,giant,0,https://cdn4.thedogapi.com/optimized/56j27IEHO8.jpg,,0,1,60,80,1,90,3,3,4,5,2,5,1,1,0,0,0,0,1,4,5,0,0,3,1,"Central Asian Shepherd Dogs are powerful, independent livestock guardians requiring experienced owners and extensive socialization. They are unsuitable for first-time owners or families without substantial property and time commitment."
Cesky Terrier,"Ceskys are muscular, short-legged, and handsome hunters standing no taller than 13 inches at the shoulder. The fine, silky coat comes in several shades of gray, including a stunning platinum. Wavy facial hair gives Ceskys a sporty, Continental look, and the medium-long neck lends a dash of elegance to these game, unspoiled working terriers.While Ceskys are as determined and prey-driven as any other earthdog, they’re mellower than a typical terrier. Wary of strangers and protective of loved ones, they’re good watchdogs without being particularly yappy. They train well and want to please. Here’s the catch: They are a scarce breed, with only about 600 living in America. A wonderful family dog, if you’re lucky enough to find one. The Cesky Terrier, national dog of the Czech Republic, is a clever and adventurous playmate for kids and an eager walking buddy for the folks. They are tenacious at work, but a little more laid back and tractable than the usual terrier.","Clever, Adventurous, Family-Oriented",185,25.4,33.02,6.35029318,10.88621688,12.0,15.0,Terrier Group,74,wire,Czech Republic,3.0,3.0,3.0,3.0,3.0,medium,0,https://cdn4.thedogapi.com/optimized/UvhPeERjsc.jpg,,0,3,45,35,1,75,4,4,4,3,3,4,2,1,0,0,0,0,1,3,4,0,0,2,1,"Cesky Terriers are determined hunting dogs with a mellow temperament compared to typical terriers, requiring moderate exercise and professional grooming. They are protective and wary of strangers, making them better suited to experienced owners with secure yards."
Chesapeake Bay Retriever,"Chessies are strong, powerfully built gundogs standing anywhere from 21 to 26 inches at the shoulder. A male can weigh up to 80 pounds. The distinctive breed trait is a wavy coat that is oily to the touch. Chessies are solid-colored, either chocolatey brown, sedge, or deadgrass, with keen yellow-amber eyes that nicely complement the coat.Chessies are more emotionally complex than the usual gundog. Chessies take to training, but they have a mind of their own and can tenaciously pursue their own path. They are protective of their humans and polite, but not overtly friendly, to strangers. Chessies make excellent watchdogs and are versatile athletes. A well-socialized Chessie is a confident companion and world-class hunting buddy. The Chesapeake Bay Retriever, peerless duck dog of the Mid-Atlantic, is an American original who embodies the classic traits of a good retriever: loyal, upbeat, affectionate, and tireless. The Chessie is famous for his waterproof coat.","Affectionate, Bright, Sensitive",45,53.34,66.04,24.947580350000003,36.2873896,10.0,13.0,Sporting Group,76,double,"Maryland, United States",4.0,3.0,4.0,3.0,3.0,large,0,https://cdn2.thedogapi.com/images/dBrrpEGm4.jpg,https://cdn2.thedogapi.com/images/-GnlzQbmR.jpg,0,2,60,70,2,100,4,4,4,3,2,3,2,1,1,0,0,0,1,2,4,0,0,2,0,"Chesapeake Bay Retrievers are strong, intelligent water dogs with independent streaks and high exercise needs. They require experienced owners, substantial space, and access to water for optimal wellbeing."
Chihuahua,"The Chihuahua is a balanced, graceful dog of terrier-like demeanor, weighing no more than 6 pounds. The rounded “apple” head is a breed hallmark. The erect ears and full, luminous eyes are acutely expressive. Coats come in many colors and patterns, and can be long or short. The varieties are identical except for coat.Chihuahuas possess loyalty, charm, and big-dog attitude. Even tiny dogs require training, and without it this clever scamp will rule your household like a little Napoleon. Compact and confident, Chihuahuas are ideal city pets. They are too small for roughhousing with kids, and special care must be taken in cold weather, but Chihuahuas are adaptable—as long as they get lots of quality time in their preferred lap. The Chihuahua is a tiny dog with a huge personality. A national symbol of Mexico, these alert and amusing ""purse dogs"" stand among the oldest breeds of the Americas, with a lineage going back to the ancient kingdoms of pre-Columbian times.","Charming, Graceful, Sassy",33,12.7,20.32,2.72155422,2.72155422,14.0,16.0,Toy Group,77,short,Mexico,3.0,3.0,3.0,2.0,3.0,small,0,https://cdn4.thedogapi.com/optimized/keGcncOUuU.jpg,,0,1,30,20,2,40,4,5,4,2,4,3,4,1,1,1,1,1,0,4,2,1,1,1,0,"Chihuahuas are tiny, charming dogs with big personalities and surprising loyalty that fit well in apartments and with various owner types. They require consistent training early on to prevent behavioral issues and may have separation anxiety."
Chinese Crested,"The Chinese Crested, a lively and alert toy breed standing between 11 and 13 inches high, can be hairless or coated. The hairless variety has smooth, soft skin and tufts of hair on the head, tail, and ankles. The coated variety, called the “powderpuff,” is covered by a soft, silky coat. Besides the coat, there’s very little difference between the powderpuff and his undressed brother. Both varieties are characterized by fine-boned elegance and graceful movement.Cresteds are as fun as they look: playful, loving, and devoted to their humans. The hairless has its advantages: there is no doggy odor, and for obvious reasons shedding isn’t much of a problem. Both varieties are attentive housemates, totally in tune with their family. With their spotted pink skin, spiky “crested” hairdo, furry socks and feathery tail, you can’t mistake the sweet and slender Chinese Crested for any other breed. This frolicsome, ultra-affectionate companion dog is truly a breed apart.","Affectionate, Alert, Lively",79,27.94,33.02,3.62873896,5.4431084400000005,13.0,18.0,Toy Group,78,curly,China,3.0,3.0,2.0,2.0,4.0,small,0,https://cdn2.thedogapi.com/images/B1pDZx9Nm_1280.jpg,https://cdn4.thedogapi.com/optimized/EmZBU7gxxa.jpg,1,2,30,25,2,55,4,5,3,2,2,1,3,1,1,1,1,1,0,4,2,1,1,1,0,"Chinese Crested dogs are lively toy companions available in hairless or coated varieties, making them hypoallergenic options for allergy-sensitive families. Their affectionate nature and apartment suitability make them good choices for first-time owners."
Chinese Shar-Pei,"The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad “hippopotamus” muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail—all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: “sand skin.”)Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential—a dominant adult Shar-Pei without them is a serious problem waiting to happen. This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog.","Loyal, Independent, Calm",64,45.72,50.8,20.41165665,27.2155422,8.0,12.0,Non-Sporting Group,79,short,China,3.0,2.0,4.0,2.0,3.0,large,0,https://cdn4.thedogapi.com/optimized/Rrs2lVEQHq.jpg,https://cdn2.thedogapi.com/images/B1ruWl94Q_1280.jpg,0,2,40,50,3,100,2,3,4,4,3,4,2,0,0,0,0,0,1,3,2,0,0,3,1,"Chinese Shar-Pei are loyal, independent guardians prone to skin and health issues requiring experienced owners and veterinary care. They are suspicious of strangers and require firm socialization, making them unsuitable for families with children."
Chinook,"Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes.Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits they’ve mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition. The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.","Smart, Patient, Devoted",190,55.88,66.04,22.6796185,40.8233133,12.0,15.0,Working Group,80,double,"New Hampshire, United States",4.0,5.0,3.0,3.0,4.0,large,1,https://cdn4.thedogapi.com/optimized/LtHPr7ay0L.jpg,https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg,0,2,60,75,1,105,4,5,5,2,2,2,2,1,1,1,1,0,1,2,5,0,1,1,0,"Chinooks are calm, people-oriented sled dogs excelling as family companions with patience and devotion toward children. Their trainability and gentle nature make them suitable for first-time owners with adequate space and exercise time."
Chow Chow,"Chows are powerful, compactly built dogs standing as high as 20 inches at the shoulder. Their distinctive traits include a lion’s-mane ruff around the head and shoulders; a blue-black tongue; deep-set almond eyes that add to a scowling, snobbish expression; and a stiff-legged gait. Chows can have rough or smooth coats of red, black, blue, cinnamon, or cream.Owners say Chows are the cleanest of dogs: They housebreak easily, have little doggy odor, and are known to be as fastidious as cats. Well-socialized Chows are never fierce or intractable, but always refined and dignified. They are aloof with strangers and eternally loyal to loved ones. Serene and adaptable, with no special exercise needs, Chows happily take to city life. The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.","Dignified, Bright, Serious-Minded",75,43.18,50.8,20.41165665,31.751465900000003,8.0,12.0,Non-Sporting Group,81,double,China,3.0,2.0,3.0,3.0,3.0,large,0,https://cdn4.thedogapi.com/optimized/XSu9Ht84DA.jpg,https://cdn2.thedogapi.com/images/ry8KWgqEQ_1280.jpg,0,3,40,55,2,125,2,2,4,4,2,4,1,0,0,0,0,0,1,2,5,0,0,3,1,"Chow Chows are dignified, independent dogs with protective instincts and demanding grooming needs due to their heavy coat. They are unsuitable for first-time owners or families with children, requiring experienced handlers and significant yard space."
Cirneco dell’Etna,"Standing under 20 inches, the Cirneco (“cheer-NEK-o”; Cirnechi is the plural) is often described as resembling a smaller version of the Pharaoh Hound, its cousin from the island of Malta. This slender but rugged hunter’s coat ranges from light to dark tan or chestnut. The large, upright ears point up the alert expression of the eyes, whose amber or ochre color smartly complements the coat.In many ways, these lithe and leggy Sicilians are typical sighthounds: sweet-natured, independent and, of course, breathtakingly swift. It is said, though, that Cirnechi are a bit more trainable than the usual sighthound. These living artifacts of antiquity have sprinted into the 21st century relatively unchanged by passing fads and fancies. The sleek and sinewy Cirneco dell’Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.","Affectionate, Friendly, Independent",183,41.91,49.53,7.71107029,11.79340162,12.0,14.0,Hound Group,83,short,"Sicily, Italy",3.0,3.0,2.0,2.0,3.0,medium,0,https://cdn4.thedogapi.com/optimized/ZtaezE1Cby.jpg,,0,1,50,30,1,50,3,4,3,4,3,2,1,1,0,0,0,0,1,5,1,0,0,2,0,"Cirneco dell'Etna are lithe sighthounds with independent, prey-driven temperaments requiring experienced owners and secure, fenced environments. Their high exercise needs and independent nature make them unsuitable for first-time owners or urban living."
Clumber Spaniel,"Clumber Spaniels are powerful bird dogs of heavy bone, built long and low, with a massive head. They stand 17 to 20 inches; a small female might be 55 pounds, and a large male could go 85 pounds. Built to push through thick cover in the field, Clumber movement is nonetheless free and easy. The dense coat is primarily white, with sparse lemon or orange markings.Clumbers are sweet and easygoing at home, but these outdoorsy fellows can be relentless on scent. Smart and eager-to-please Clumbers respond well to training. Though a bit wary around strangers, Clumbers are friendly dogs who bark only when they have something to say, and so make indifferent watchdogs. They love swimming and fetching, and are sturdy childhood playmates. A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.","Mellow, Amusing, Gentlemanly",143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,Sporting Group,84,double,England,3.0,3.0,4.0,3.0,3.0,large,0,https://cdn4.thedogapi.com/optimized/M5cp3u9VBx.jpg,https://cdn2.thedogapi.com/images/rkeqWgq4Q_1280.jpg,0,2,60,80,2,110,3,4,3,2,2,2,3,1,1,0,1,0,1,2,4,0,1,1,0,"Clumber Spaniels are sweet, mellow hunting dogs suited for active families with space. They are excellent with children and other dogs but require regular exercise and grooming. These gentle companions thrive with owners who can provide outdoor activities and socialization."
Cocker Spaniel,"Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched—no wonder the Cocker spent years as America’s most popular breed. The Cocker is the AKC’s smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks. The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world’s best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions.","Gentle, Smart, Happy",30,34.29,39.37,9.0718474,13.6077711,10.0,14.0,Sporting Group,86,medium,United States,3.0,5.0,3.0,4.0,5.0,medium,0,https://cdn2.thedogapi.com/images/BP9tUfS_h.jpg,https://cdn2.thedogapi.com/images/gW4R5SWbV.jpg,0,3,60,65,2,130,4,5,5,2,2,1,3,1,1,1,1,1,0,3,3,1,1,1,0,"Cocker Spaniels are gentle, highly intelligent dogs that excel as family companions and are easily trained. They require regular professional grooming and moderate exercise. These affectionate, playful dogs are excellent with children and adapt well to various living situations."
Collie,"The Collie is a large but lithe herder standing anywhere from 22 to 26 inches tall. The rough variety boasts one of the canine kingdom’s most impressively showy coats; the smooth coat’s charms are subtler but no less satisfying. Coat colors in both varieties are sable and white, tricolor, blue merle, or white. Collie fanciers take pride in their breed’s elegant wedge-shaped head, whose mobile ears and almond eyes convey a wide variety of expressions.Collies are famously fond of children and make wonderful family pets. These swift, athletic dogs thrive on companionship and regular exercise. With gentle training, they learn happily and rapidly. The Collie’s loyalty, intelligence, and sterling character are the stuff of legend. The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world’s most recognizable and beloved dog breeds. The full-coated “rough” Collie is the more familiar variety, but there is also a sleek “smooth” Collie.","Devoted, Graceful, Proud",38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,Herding Group,32,double,Scotland,3.0,4.0,3.0,3.0,4.0,large,1,https://cdn2.thedogapi.com/images/UZtLVvNhE.jpg,https://cdn2.thedogapi.com/images/ssY_amKgW.jpg,0,2,60,75,1,100,3,4,4,2,3,3,3,1,1,1,1,0,1,2,5,0,1,1,1,"Collies are devoted, graceful herding dogs famous for their fondness of children and loyalty to families. They require regular grooming, moderate exercise, and space to roam. These intelligent dogs are suitable for first-time owners seeking a protective yet gentle family companion."
Coton de Tulear,"The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, “coton”). Their primary job is to provide amusement, comfort, and companionship.The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as “witty” companions “at times boisterous but never demanding” and “naturally clownish and lighthearted,” who possess a “remarkably gentle, sympathetic awareness.” Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs. The Coton de Tulear, “Royal Dog of Madagascar,” is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.","Charming, Bright, Happy-Go-Lucky",81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,Non-Sporting Group,89,curly,Madagascar,3.0,4.0,3.0,4.0,5.0,small,0,https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg,https://cdn4.thedogapi.com/optimized/mFiuFIyvhH.jpg,1,3,40,40,1,110,4,5,4,2,3,1,4,1,1,1,1,1,0,4,2,1,1,1,0,"Cotons de Tulear are charming, small companion dogs with hypoallergenic white coats that form strong bonds with their owners. They require regular professional grooming but minimal exercise, making them ideal for apartment living. These intelligent, playful dogs are excellent for first-time owners seeking a devoted, adaptable companion."
Croatian Sheepdog,"Petar Horvat, the bishop of Djakovo, wrote in 1374 that Croats had brought a shepherd dog along on the move to their new land. He referred to the dog as Canis Pastoralis Croaticus—the Croatian Shepherd Dog.The bishop of Djakovo, Peter Bakic also wrote about the Croatian Sheepdog in his 1719 manuscript “On the Life of the People and Raising of Stock in Djakovo and it’s Surroundings in 1719”. He quoted the words written by Bishop Petar in 1374 and, providing his own description of the dog, stated that the Croatian Sheepdog had not changed since the record (from 1374 to 1719) and had not changed in appearance from that described by Bishop Petar in 1374.A systematic selection breeding program was started by the “father of the breed” – veterinarian Prof Dr Stjepan Romic in 1935 with dogs in the territory of Djakovo.  After 34 years of work, the breed was recognized by the FCI in 1969. The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.","Loyal, Active, Alert and Intelligent",,40.64,50.8,13.15417873,19.95806428,13.0,14.0,Foundation Stock Service,429,medium,Croatia,5.0,5.0,3.0,2.0,3.0,medium,0,https://cdn4.thedogapi.com/optimized/qsshNx5TEm.jpg,,0,1,90,70,1,85,4,3,5,3,3,4,2,1,1,0,0,0,1,3,4,0,0,2,1,"Croatian Sheepdogs are highly intelligent, alert herding dogs requiring experienced owners and substantial daily exercise. They are loyal, protective family members that excel in working roles and active households. These dogs are best suited for owners with herding dog experience and access to space for vigorous activity."
Curly-Coated Retriever,"The Curly-Coated Retriever’s tight, crisp curls of either black or liver serve as waterproof and thorn-resistant all-weather gear for work in thick bramble and icy lakes. The Curly is a big, durable gun dog, but more elegant and graceful than other retrievers. Another trait that sets Curlies apart from the usual retriever is a tapered, wedge-shaped head.Like Labradors and Goldens, Curlies are affectionate and gentle, but they are a bit more independent and less needy. Playful and mischievous with loved ones, Curlies can be aloof with strangers. This wariness makes them more discerning watchdogs than other, more gregarious retrievers. These tireless dogs need lots of outdoor exercise. Bored, underemployed Curlies are a handful. The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking person’s retriever who will never quit before you do.","Confident, Proud, Wickedly Smart",162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,Sporting Group,90,curly,England,4.0,3.0,3.0,2.0,3.0,large,0,,,0,2,75,80,2,110,4,4,4,3,2,2,2,1,1,0,1,0,1,3,4,0,0,2,0,"Curly-Coated Retrievers are confident, intelligent gun dogs with waterproof coats suited for active families and hunters. They are more independent than other retrievers but remain affectionate and playful. These dogs require experienced owners comfortable with their mischievous nature and substantial exercise needs."
